,SONG_ID,SONG_TITLE,happy,sad,relaxed,angry,pred
85,4369827,금요일에 만나요 (Feat. 장이정 Of HISTORY),0.06590761,0.13705248,0.7242333,0.07280672,2
86,4446485,너의 모든 순간,0.022073172,0.6318504,0.29967874,0.046397623,1
87,4451155,겨울을 걷는다,0.015963014,0.19803119,0.77609533,0.009910769,2
88,4543502,야생화,0.031963486,0.72469,0.16790114,0.07544553,1
89,4579468,봄 사랑 벚꽃 말고,0.08601509,0.18316023,0.7018316,0.02899322,2
90,4633162,중독 (Overdose),0.5208641,0.041209992,0.34239337,0.09553251,0
91,4638118,내 나이가 어때서,0.49011156,0.047808528,0.2346948,0.22738515,0
92,4646588,꿍따리 샤바라 (Feat. 클론),0.003198049,0.18429989,0.8120025,0.0004997933,2
93,4671151,"눈, 코, 입",0.07972541,0.55668366,0.21029362,0.15329732,1
94,4756304,Touch My Body,0.75845397,0.05481115,0.101024464,0.08571047,0
95,4764928,HER,0.8379481,0.0054293247,0.11275117,0.043871332,0
96,4833735,"안녕,우주",0.03955067,0.65336317,0.282312,0.02477416,1
97,5398990,이 소설의 끝을 다시 써보려 해,0.07322547,0.5601307,0.18659618,0.18004762,1
98,5466962,스토커,0.015407946,0.7663029,0.122898676,0.09539056,1
99,5531227,화 (Feat. 진실 Of Mad Soul Child) (Fire),0.20839818,0.110689215,0.611246,0.069666564,2
100,5546489,유리구슬 (Glass Bead),0.506363,0.10169901,0.24489458,0.14704347,0
101,5629148,Ice Cream Cake,0.9086184,0.0032371564,0.049787775,0.038356602,0
102,5650848,오르막길,0.019975414,0.59494394,0.2916068,0.09347384,1
103,5658708,어머님이 누구니 (Feat. 제시),0.50602347,0.079486765,0.39135715,0.023132566,0
104,5660045,위아래,0.84676635,0.0046074167,0.09817278,0.05045342,0
105,5663983,사랑에 빠지고 싶다,0.008767653,0.8784683,0.09487414,0.017889885,1
106,5681153,I NEED U,0.58120847,0.17057052,0.11743773,0.13078313,0
107,5681156,쩔어,0.8028282,0.033921503,0.09105958,0.07219072,0
108,5711530,우연히 봄 (Acoustic Ver.),0.06647338,0.27050778,0.64833385,0.014684976,2
109,5719286,뱅뱅뱅 (BANG BANG BANG),0.75837123,0.03493742,0.1282151,0.07847646,0
110,5743804,음오아예 (Um Oh Ah Yeh),0.6403164,0.065255515,0.24940547,0.04502254,0
111,5748406,심쿵해 (Heart Attack),0.8355311,0.0072047994,0.052187927,0.10507636,0
112,5748499,SHAKE IT,0.93796974,0.0008899107,0.054165963,0.0069744666,0
113,5765887,만약에 말야 (화생방실 클레오파트라) (Bonus Track),0.02975587,0.68517715,0.19832902,0.08673779,1
114,5767424,링마벨 (Ring My Bell),0.6748065,0.016090104,0.23702712,0.07207624,0
115,5791706,오늘부터 우리는 (Me Gustas Tu),0.5589422,0.053705756,0.18277918,0.20457284,0
116,5820368,Lion Heart,0.5126451,0.014165143,0.42098844,0.052201193,0
117,5826447,겁 (Feat. 태양),0.42935485,0.16979806,0.3525873,0.048259817,0
118,5835766,Okey Dokey,0.60645,0.10864907,0.22618908,0.05871176,0
119,7847861,Dumb Dumb,0.9441278,0.014718962,0.016489562,0.024663419,0
120,7861392,또 다시 사랑,0.07362622,0.39934775,0.23851188,0.28851396,1
121,7870472,Ah-Choo,0.45134938,0.17717858,0.083296925,0.2881751,0
122,7891119,OOH-AHH하게,0.66781735,0.22686407,0.014350456,0.09096816,0
123,7921208,걱정말아요 그대,0.006287924,0.54221576,0.43020165,0.021294639,1
124,7935505,응급실,0.030383043,0.6869149,0.24079323,0.041908942,1
125,7948056,고칠게,0.002667491,0.94152814,0.041842878,0.013961613,1
126,7978970,Heaven,0.06751835,0.41752768,0.33461833,0.18033569,1
127,7997136,당돌한 여자,0.069528855,0.34723938,0.5604593,0.022772448,2
128,8003787,이미 슬픈 사랑,0.013747657,0.79217196,0.1885111,0.005569424,1
129,8022126,사랑인걸,0.49791887,0.27205065,0.16178726,0.06824306,0
130,8026845,소녀,0.027150786,0.71865535,0.23328167,0.020912178,1
131,8050531,오늘은 가지마 (작년에 왔던 각설이),0.023467029,0.68509907,0.09364471,0.19778909,1
132,8124417,봄이 좋냐??,0.0051081046,0.11601898,0.87879103,8.185015e-05,2
133,8130796,상상더하기,0.4427932,0.050675973,0.18889627,0.31763452,0
134,8141272,제주도의 푸른 밤,0.004604254,0.18050495,0.81376004,0.0011308306,2
135,8147688,슬피 우는 새 (Feat. 이수영),0.040540785,0.22109672,0.6907735,0.047588967,2
136,8151530,나비무덤,0.020054063,0.46077,0.50558716,0.013588779,2
137,8158015,Destiny (나의 지구),0.5475404,0.012571418,0.26819667,0.17169149,0
138,8158031,CHEER UP,0.78249013,0.0673321,0.09208487,0.058092598,0
139,8167307,불타오르네 (FIRE),0.67973304,0.066357225,0.14478004,0.10912964,0
140,8195416,다시 사랑한다면,0.004240193,0.73526615,0.2468899,0.0136038,1
141,8233340,어떻게 사랑이 그래요,0.08723025,0.5473975,0.1418119,0.22356018,1
142,8252569,사랑은 늘 도망가 (로맨틱 흑기사),0.005552477,0.8496358,0.13664895,0.0081626475,1
143,8290872,한여름의 크리스마스,0.017098136,0.42628458,0.5311038,0.025513645,2
144,8308231,puzzle,0.62219644,0.012769752,0.34885257,0.01618119,0
145,9614761,그대라는 사치,0.040076483,0.6753472,0.15976267,0.124813415,1
146,9631530,내가 저지른 사랑,0.12521677,0.3197234,0.30875206,0.2463079,1
147,9634954,러시안 룰렛 (Russian Roulette),0.8247612,0.02463975,0.080743596,0.069855504,0
148,30029173,피 땀 눈물,0.61713696,0.14742829,0.07695095,0.15848397,0
149,30040810,너무너무너무,0.2865551,0.029295182,0.63744146,0.046708323,2
150,30069773,불장난,0.5226646,0.05809408,0.39786366,0.021377502,0
151,30105590,꽃길 (Prod. By ZICO),0.011603373,0.87242347,0.11332018,0.0026528917,1
152,30117119,홍연,0.1047067,0.42178375,0.21086378,0.26264578,1
153,30147451,뱅뱅뱅 (BANG BANG BANG),0.7174543,0.038524322,0.16927224,0.074749134,0
154,30181278,오랜 날 오랜 밤,0.087563366,0.43267313,0.25092816,0.22883536,1
155,30210385,고속도로 로맨스,0.39980814,0.020780133,0.07904874,0.50036293,3
156,30261007,KNOCK KNOCK,0.87234646,0.0012667589,0.10787334,0.01851353,0
157,30286429,MOVIE,0.41922405,0.16943209,0.34207213,0.06927159,0
158,30294022,나야 나 (PICK ME),0.0320831,0.7151747,0.18268119,0.070060946,1
159,30310862,얼굴 찌푸리지 말아요,0.69699246,0.08512849,0.07454417,0.14333503,0
160,30314784,밤편지,0.0060232435,0.7888531,0.20076415,0.0043595657,1
161,30341745,REALLY REALLY,0.3487258,0.039155874,0.57886606,0.033252273,2
162,30378156,팔레트 (Feat. G-DRAGON),0.035385784,0.07617313,0.8859308,0.0025102703,2
163,30467550,매일 듣는 노래 (A Daily Song),0.038879145,0.61415344,0.26979223,0.077175185,1
164,30486509,좋니,0.12653618,0.37581873,0.1055863,0.3920585,3
165,30488202,나로 말할 것 같으면 (Yes I am),0.62975276,0.025345461,0.30505577,0.039846104,0
166,30512671,빨간 맛 (Red Flavor),0.6999867,0.11325035,0.114832655,0.07193033,0
167,30514366,선물,0.024611618,0.2367629,0.70446116,0.034164492,2
